sampleid	well_position	project
Pv18_713_A	D-G05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_714_A	D-H05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_715_A	D-A06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_716_A	D-B06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_717_A	D-C06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_718_A	D-D06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_719_A	D-E06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_720_A	D-F06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_721_A	D-G06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_722_A	D-H06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_723_A	D-A07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_724_A	D-B07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_725_A	D-C07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_726_A	D-D07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_727_A	D-E07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_728_A	D-F07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_729_A	D-G07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_730_A	D-H07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_731_A	D-A08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_732_A	D-B08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_733_A	D-C08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_734_A	D-D08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_735_A	D-E08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_736_A	D-F08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_737_A	D-G08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_738_A	D-H08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_739_A	D-A09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_740_A	D-B09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_741_A	D-C09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_742_A	D-D09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_743_A	D-E09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_744_A	D-F09	HarborSealScat_HS_5-6_SPID.0185-0186
