SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D6_03,20241211,9:57,6,Jessica,Pym,Deck,2,PvCF_D6_03_TR2
PvCF_D6_03,20241211,9:57,6,Jessica,Pym,Deck,3,PvCF_D6_03_TR3
PvCF_D6_04,20241211,13:10,6,Jessica,Pym,Pool,1,PvCF_D6_04_TR1
PvCF_D6_04,20241211,13:10,6,Jessica,Pym,Pool,2,PvCF_D6_04_TR2
PvCF_D6_04,20241211,13:10,6,Jessica,Pym,Pool,3,PvCF_D6_04_TR3
PvCF_D6_05,20241211,14:09,6,Jessica,Pym,Deck,1,PvCF_D6_05_TR1
PvCF_D6_05,20241211,14:09,6,Jessica,Pym,Deck,2,PvCF_D6_05_TR2
PvCF_D6_05,20241211,14:09,6,Jessica,Pym,Deck,3,PvCF_D6_05_TR3
PvCF_D6_06,20241212,13:00,6,Jessica,Pym,Pool,1,PvCF_D6_06_TR1
PvCF_D6_06,20241212,13:00,6,Jessica,Pym,Pool,2,PvCF_D6_06_TR2
PvCF_D6_06,20241212,13:00,6,Jessica,Pym,Pool,3,PvCF_D6_06_TR3
PvCF_D6_07,20241212,13:00,6,Jessica,Pym,Pool,1,PvCF_D6_07_TR1
PvCF_D6_07,20241212,13:00,6,Jessica,Pym,Pool,2,PvCF_D6_07_TR2
PvCF_D6_07,20241212,13:00,6,Jessica,Pym,Pool,3,PvCF_D6_07_TR3
PvCF_D6_08,20241213,9:34,6,Jessica,Pym,Deck,1,PvCF_D6_08_TR1
PvCF_D6_08,20241213,9:34,6,Jessica,Pym,Deck,2,PvCF_D6_08_TR2
PvCF_D6_08,20241213,9:34,6,Jessica,Pym,Deck,3,PvCF_D6_08_TR3
PvCF_D6_09,20241213,14:17,6,Jessica,Pym,Pool,1,PvCF_D6_09_TR1
PvCF_D6_09,20241213,14:17,6,Jessica,Pym,Pool,2,PvCF_D6_09_TR2
PvCF_D6_09,20241213,14:17,6,Jessica,Pym,Pool,3,PvCF_D6_09_TR3
PvCF_D6_10,20241214,9:07,6,Jessica,Pym,Deck,1,PvCF_D6_10_TR1
PvCF_D6_10,20241214,9:07,6,Jessica,Pym,Deck,2,PvCF_D6_10_TR2
PvCF_D6_10,20241214,9:07,6,Jessica,Pym,Deck,3,PvCF_D6_10_TR3
PvCF_D6_11,20241214,14:15,6,Jessica,,Deck,1,PvCF_D6_11_TR1
PvCF_D6_11,20241214,14:15,6,Jessica,,Deck,2,PvCF_D6_11_TR2
PvCF_D6_11,20241214,14:15,6,Jessica,,Deck,3,PvCF_D6_11_TR3
PvCF_D6_12,20241214,11:03,6,Jessica,Pym,Floating_dock,1,PvCF_D6_12_TR1
PvCF_D6_12,20241214,11:03,6,Jessica,Pym,Floating_dock,2,PvCF_D6_12_TR2
PvCF_D6_12,20241214,11:03,6,Jessica,Pym,Floating_dock,3,PvCF_D6_12_TR3
PvCF_D6_13,20241214,14:00,6,Jessica,Pym,Floating_dock,1,PvCF_D6_13_TR1
PvCF_D6_13,20241214,14:00,6,Jessica,Pym,Floating_dock,2,PvCF_D6_13_TR2
PvCF_D6_13,20241214,14:00,6,Jessica,Pym,Floating_dock,3,PvCF_D6_13_TR3
PvCF_D6_14,20241215,11:30,6,Jessica,Pym,Floating_dock,1,PvCF_D6_14_TR1
PvCF_D6_14,20241215,11:30,6,Jessica,Pym,Floating_dock,2,PvCF_D6_14_TR2
PvCF_D6_14,20241215,11:30,6,Jessica,Pym,Floating_dock,3,PvCF_D6_14_TR3
PvCF_D6_15,20241215,11:30,6,Jessica,Pym,Pool,1,PvCF_D6_15_TR1
PvCF_D6_15,20241215,11:30,6,Jessica,Pym,Pool,2,PvCF_D6_15_TR2
PvCF_D6_15,20241215,11:30,6,Jessica,Pym,Pool,3,PvCF_D6_15_TR3
PvCF_D6_16,20241215,11:30,6,Jessica,Pym,Pool,1,PvCF_D6_16_TR1
PvCF_D6_16,20241215,11:30,6,Jessica,Pym,Pool,2,PvCF_D6_16_TR2
PvCF_D6_16,20241215,11:30,6,Jessica,Pym,Pool,3,PvCF_D6_16_TR3
PvCF_D6_17,20241215,13:30,6,Jessica,Pym,Floating_dock,1,PvCF_D6_17_TR1
PvCF_D6_17,20241215,13:30,6,Jessica,Pym,Floating_dock,2,PvCF_D6_17_TR2
PvCF_D6_17,20241215,13:30,6,Jessica,Pym,Floating_dock,3,PvCF_D6_17_TR3
PvCF_D6_18,20241216,9:24,6,Jessica,Pym,Floating_dock,1,PvCF_D6_18_TR1
PvCF_D6_18,20241216,9:24,6,Jessica,Pym,Floating_dock,2,PvCF_D6_18_TR2
PvCF_D6_18,20241216,9:24,6,Jessica,Pym,Floating_dock,3,PvCF_D6_18_TR3
PvCF_D6_19,20241216,13:30,6,Jessica,Pym,Floating_dock,1,PvCF_D6_19_TR1
PvCF_D6_19,20241216,13:30,6,Jessica,Pym,Floating_dock,2,PvCF_D6_19_TR2
PvCF_D6_19,20241216,13:30,6,Jessica,Pym,Floating_dock,3,PvCF_D6_19_TR3
